Instance,BestCost,MeanCost,StdDevCost,MeanIterations,Satisfability
P-n21-k2,212.71153970290385,212.71153970290385,0.0,1580.0,8.4,20/20
P-n22-k2,217.85215074022966,217.85215074022966,0.0,2766.4,14.2,21/21
P-n22-k8,588.7935242586069,596.0127317420702,6.590204643338202,19195.0,96.0,21/21
P-n23-k8,531.1738035458811,533.2972195381391,4.74810250319891,20744.4,103.2,22/22
P-n40-k5,461.72617176318863,476.3586398074634,15.200493758573847,23227.8,118.4,39/39
P-n45-k5,519.1184856794503,534.3616135483446,15.011436125639992,155220.0,776.6,44/44
P-n50-k10,735.2957861629379,751.8763977101586,19.242491555604367,181900.0,901.0,49/49
P-n50-k7,568.3986087041952,592.0439777924543,13.856005629575185,163479.0,822.0,49/49
P-n50-k8,648.7885235983799,654.1400862137399,6.7782283029156805,109341.6,541.8,49/49
P-n51-k10,781.6472186693622,813.7859388236662,21.817382097746236,97827.6,484.8,50/50
P-n55-k10,712.2327466710866,720.3114576438269,7.8664445972525545,138882.6,698.4,54/54
P-n55-k15,963.6809366689869,975.2793738918939,7.468827277006315,243712.0,1207.0,54/54
P-n55-k7,598.7496266518497,602.9410155778339,4.848638598263821,156872.6,796.8,54/54
P-n55-k8,599.3879753163231,616.8551143257538,11.099007904588383,110077.6,573.8,54/54
P-n60-k10,771.5314756498574,806.7946080896758,26.587801317804537,92077.6,458.6,59/59
P-n60-k15,1009.7381943998275,1034.8335144584385,17.16150917172084,112901.2,562.2,59/59
P-n65-k10,824.196495773416,864.3957533560712,37.72228387388799,164638.6,819.6,64/64
P-n70-k10,937.2049054180507,973.2311480314453,36.20311181682114,114836.0,569.0,69/69
P-n76-k4,648.0101110565852,673.8616265522307,23.329020933101734,69547.6,344.8,75/75
P-n76-k5,713.0998969689738,736.5834058145056,33.6133783892605,130996.0,649.0,75/75
P-n101-k4,733.7432559052484,759.4276394695613,29.576938454491295,103739.2,521.8,100/100
P-n16-k8,451.33508020861797,451.82468974557844,0.27370005176893386,2306.4,12.2,15/15
P-n19-k2,212.6569041858923,218.33469055826913,3.1739790725891375,43570.4,216.2,18/18
P-n20-k2,217.41558334616656,221.75926957663359,6.202723375140524,101988.8,505.4,19/19
P-n21-k2,212.71153970290385,212.71153970290385,0.0,1980.0,10.4,20/20
P-n22-k2,217.85215074022966,217.85215074022966,0.0,5028.8,25.4,21/21
P-n22-k8,588.7935242586069,621.8794941249147,40.11486785062171,9506.8,47.8,21/21
P-n23-k8,531.1738035458811,538.3718690670892,14.65403836385262,25430.8,126.4,22/22
P-n40-k5,461.72617176318863,469.23541876517663,9.420581856712834,31147.2,158.6,39/39
P-n45-k5,534.1242491225908,557.0925716437963,17.360958607605287,67540.0,338.2,44/44
P-n50-k10,715.5415431835147,728.350290884705,9.031457638178885,140611.2,696.6,49/49
P-n50-k7,567.0084188433153,589.260642928851,18.266597259729153,116475.2,585.8,49/49
P-n50-k8,657.5305369436613,664.6348196585548,11.122145840455401,113826.0,564.0,49/49
P-n51-k10,802.7670914400564,826.0361087165595,25.489184276754504,134591.6,666.8,50/50
P-n55-k10,709.9773676014992,722.0463430433014,8.142760477298337,149230.6,750.4,54/54
P-n55-k15,969.3527571967973,991.5514696736539,25.403465993735907,190020.4,941.2,54/54
P-n55-k7,588.9138505976343,616.577155900957,25.692516440639864,117906.0,599.0,54/54
P-n55-k8,593.4788699931678,627.7559991441382,24.57685033558075,129930.4,677.2,54/54
P-n60-k10,827.6906835533067,851.1414556301282,23.527733333162253,117082.0,583.0,59/59
P-n60-k15,1021.017240862185,1032.144435564068,8.016972866787377,187110.4,931.4,59/59
P-n65-k10,836.2249793226769,876.0609485443207,30.561041955861413,68440.0,341.0,64/64
P-n70-k10,924.9338751452547,962.7755103835971,34.961162190052896,64942.0,322.0,69/69
P-n76-k4,650.7529039721653,684.1448722408167,28.088899849076466,155276.4,769.2,75/75
P-n76-k5,682.0945113000878,703.1384774567863,15.155444276049787,121380.8,601.4,75/75
P-n101-k4,705.7107593626904,729.6577085325059,22.74235238859642,218721.4,1099.6,100/100
P-n16-k8,451.33508020861797,451.4574825928581,0.2737000517689148,59160.6,300.8,15/15
P-n19-k2,212.6569041858923,218.3346905582692,3.1739790725891375,28703.2,142.6,18/18
P-n20-k2,218.30889390027937,219.79450543649347,3.321928383132554,19168.8,95.4,19/19
P-n21-k2,212.71153970290385,212.71153970290385,0.0,1540.0,8.2,20/20
