Instance,Configuration,Cost,TimeMs,BestEval
E-n22-k4,all,384.05605815089905,1978,868
E-n23-k3,baseline,568.5625010705219,568,8164
E-n23-k3,nn,632.5562622472787,609,18724
E-n23-k3,sa,577.4399832207315,6126,8548
E-n23-k3,lns,568.5625010705219,914,2404
E-n23-k3,nn_sa,632.5562622472787,4571,16228
E-n23-k3,nn_lns,568.5625010705219,909,4132
E-n23-k3,sa_lns,568.5625010705219,5857,2596
E-n23-k3,all,568.5625010705219,5383,6244
E-n30-k3,baseline,576.1504872424274,535,27172
E-n30-k3,nn,538.7946864904361,566,171748
E-n30-k3,sa,651.1706325620627,5432,12388
E-n30-k3,lns,505.01107914553756,1207,2020
E-n30-k3,nn_sa,545.750254118479,6633,7588
E-n30-k3,nn_lns,538.7946864904361,1021,21412
E-n30-k3,sa_lns,505.01107914553756,8252,2212
E-n30-k3,all,538.7946864904361,7602,12388
E-n33-k4,baseline,925.8817052839263,567,332836
E-n33-k4,nn,886.4186863718942,608,148708
E-n33-k4,sa,899.9816856809489,6463,56932
E-n33-k4,lns,847.3678766938128,923,15268
E-n33-k4,nn_sa,893.6444038830806,5632,9892
E-n33-k4,nn_lns,859.6115248752276,1169,5284
E-n33-k4,sa_lns,880.6570740053271,6807,114148
E-n33-k4,all,856.1280570145963,6659,2404
E-n51-k5,baseline,639.8765288869549,597,95524
E-n51-k5,nn,584.9259279610466,670,195748
E-n51-k5,sa,606.2794216685995,11465,349540
E-n51-k5,lns,609.5791720271432,1291,134692
E-n51-k5,nn_sa,583.020741586452,10669,11428
E-n51-k5,nn_lns,553.3176371841212,1156,70948
E-n51-k5,sa_lns,562.9413413777789,12368,7588
E-n51-k5,all,553.3176371841212,11946,319012
E-n76-k10,baseline,950.3433965653976,965,225124
E-n76-k10,nn,952.5963519769491,911,112036
E-n76-k10,sa,975.210793339729,8565,275620
E-n76-k10,lns,891.8549102785753,1443,81316
E-n76-k10,nn_sa,966.1429339676205,9763,319204
E-n76-k10,nn_lns,967.2144301354804,1192,137188
E-n76-k10,sa_lns,942.6565277038474,10522,269284
E-n76-k10,all,953.2742081856742,9703,203044
E-n76-k14,baseline,1139.1867909713133,886,178276
E-n76-k14,nn,1193.4183846884189,878,28516
E-n76-k14,sa,1123.041345385562,4867,227044
E-n76-k14,lns,1094.855870349314,1299,197476
E-n76-k14,nn_sa,1190.8034302561573,5613,185572
E-n76-k14,nn_lns,1182.9299674301305,1101,75364
E-n76-k14,sa_lns,1196.7988171109605,5167,166180
E-n76-k14,all,1134.8983808667483,5473,332644
E-n76-k7,baseline,824.1624560158336,894,316324
E-n76-k7,nn,774.5073533042063,874,122404
E-n76-k7,sa,847.7554081626579,19609,240868
E-n76-k7,lns,760.2805812744518,1404,183268
E-n76-k7,nn_sa,766.0497004794289,18565,345508
E-n76-k7,nn_lns,763.9571306020129,1565,189988
E-n76-k7,sa_lns,731.3332749496142,18846,271012
E-n76-k7,all,782.2979708831778,20940,10468
E-n76-k8,baseline,811.2292052094043,857,334372
E-n76-k8,nn,858.4173476694252,872,88420
E-n76-k8,sa,825.5011000508694,14378,348196
E-n76-k8,lns,801.9409052172853,1381,20260
E-n76-k8,nn_sa,844.8697758443959,14962,346852
E-n76-k8,nn_lns,794.0736935671366,1748,336100
E-n76-k8,sa_lns,815.9824876502314,17267,245860
E-n76-k8,all,825.7591918056225,16397,69604
P-n101-k4,baseline,827.9232142923183,838,346276
P-n101-k4,nn,808.7190970004671,1025,338212
P-n101-k4,sa,802.5191865574188,94149,347236
P-n101-k4,lns,770.0615845018684,2301,213604
P-n101-k4,nn_sa,767.6749716187586,93753,349156
P-n101-k4,nn_lns,755.6288767633805,2339,65380
P-n101-k4,sa_lns,778.6846862048129,92606,318052
P-n101-k4,all,807.9421469500246,91812,18148
P-n16-k8,baseline,451.9470921298185,486,1636
P-n16-k8,nn,451.94709212981854,442,21220
P-n16-k8,sa,451.33508020861797,499,83236
P-n16-k8,lns,451.335080208618,479,676
P-n16-k8,nn_sa,451.94709212981854,481,11428
P-n16-k8,nn_lns,451.33508020861797,517,33508
P-n16-k8,sa_lns,451.335080208618,518,676
P-n16-k8,all,451.33508020861797,616,167716
P-n19-k2,baseline,221.88116810690303,582,126436
P-n19-k2,nn,224.8304906950786,520,1252
P-n19-k2,sa,225.24077447932478,3895,331300
P-n19-k2,lns,212.6569041858923,1120,16420
P-n19-k2,nn_sa,219.75413715136335,4636,164068
P-n19-k2,nn_lns,219.75413715136335,1030,676
P-n19-k2,sa_lns,212.6569041858923,3805,85156
P-n19-k2,all,219.75413715136335,3607,5668
P-n20-k2,baseline,238.83732490653975,419,4708
P-n20-k2,nn,227.06299820912574,434,3556
P-n20-k2,sa,233.57637559572646,3697,13156
P-n20-k2,lns,230.6262906005708,831,118372
P-n20-k2,nn_sa,219.9382488737121,3638,327268
P-n20-k2,nn_lns,225.73695158134973,806,334564
P-n20-k2,sa_lns,220.03979504064705,4251,344932
P-n20-k2,all,218.30889390027937,4368,1444
P-n21-k2,baseline,212.71153970290385,472,125092
P-n21-k2,nn,212.71153970290385,483,220516
P-n21-k2,sa,227.5916122742348,4427,346660
P-n21-k2,lns,223.742894882718,903,38692
P-n21-k2,nn_sa,212.71153970290385,4480,19492
P-n21-k2,nn_lns,212.71153970290385,912,484
P-n21-k2,sa_lns,212.71153970290385,5055,98980
P-n21-k2,all,212.71153970290385,4712,1828
P-n22-k2,baseline,244.16578181032367,487,8548
P-n22-k2,nn,219.93465254238077,493,250660
P-n22-k2,sa,233.77480733826235,5119,340516
P-n22-k2,lns,222.33245736353766,937,81508
P-n22-k2,nn_sa,217.85215074022966,4814,86116
